position,feature,paper_feature_family,unary_or_pairwise,raw_or_temporal_summary,causal_status,required_track_history,validity_or_missingness_field,included_full_132,included_reduced_52,selection_rationale,meaning,normalization,expected_range,status,implementation_source,implementation_source_sha256
0,F0,pair interaction,pair-context,raw/current,causal/trailing-only,current sample,none,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",relative closing velocity and normalized distance to the three nearest current tracks,log1p then quality mask,"[0,inf)",active,pipeline_accident_detector_v11_phase1.py:_v10_compute_collision_energy_proxy:4839,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
3,F5,pair interaction,pair-context,raw/current,causal/trailing-only,current sample,none,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",maximum current IoU to the three nearest tracks,clip then soft quality mask,"[0,1]",active,pipeline_accident_detector_v11_phase1.py:V10FeatureExtractor.extract:5104,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
4,F6,motion,pair-context,raw/current,causal/trailing-only,current sample,none,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",maximum current context-track speed,log1p then quality mask,"[0,inf)",active,pipeline_accident_detector_v11_phase1.py:V10FeatureExtractor.extract:5104,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
5,F7,direction,pair-context,raw/current,causal/trailing-only,current sample,none,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",cosine similarity to fastest current context track,signed clip then quality mask,"[-1,1]",active,pipeline_accident_detector_v11_phase1.py:V10FeatureExtractor.extract:5104,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
6,F10,direction,unary,raw/current,causal/trailing-only,current sample,none,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",one minus cosine similarity between current and fifth-most-recent causal velocities,"clip to [0,2]; soft quality mask","[0,2]",active,pipeline_accident_detector_v11_phase1.py:V10FeatureExtractor.extract:5104,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
7,F11,shape variation,unary,raw/current,causal/trailing-only,current sample,none,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule","absolute aspect-ratio difference between the current and fifth-most-recent causal track observations, followed by log1p and soft quality masking",absolute aspect-ratio difference; log1p; soft quality mask,"[0,inf)",active,pipeline_accident_detector_v11_phase1.py:V10FeatureExtractor.extract:5104,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
8,F13,reliability and missingness,unary,raw/current,causal/trailing-only,current sample,none,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",track confidence multiplied by causal age saturation,clip,"[0,1]",active,pipeline_accident_detector_v11_phase1.py:_v10_enrich_track:4900,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
10,F15,geometry,unary,raw/current,causal/trailing-only,current sample,none,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",minimum normalized distance to a five-percent image edge margin,clip; quality-immune,"[0,1]",active,pipeline_accident_detector_v11_phase1.py:V10FeatureExtractor.extract:5104,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
11,F16,motion,unary,raw/current,causal/trailing-only,current sample,none,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",target image-plane speed normalized by box diagonal,log1p then quality mask,"[0,log1p(10)]",active,pipeline_accident_detector_v11_phase1.py:V10FeatureExtractor.extract:5104,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
12,F17,geometry,unary,raw/current,causal/trailing-only,current sample,none,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",square of one minus normalized box-center y,clip; quality-immune,"[0,1]",active,pipeline_accident_detector_v11_phase1.py:V10FeatureExtractor.extract:5104,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
