field,value,status,evidence,source_path,source_sha256
detector_family_variant,task-adapted Ultralytics YOLOv8s-derived DetectionModel,VERIFIED,checkpoint train_args.model is yolov8s.pt; five-class DetectionModel width/depth multipliers match YOLOv8s,/ssd1/team_cam_ai/ttdat/yolo/VHD.pt,06e07060b5391fe76c1a1c75a7d4e977418155d1dfd95a3d332a0e14c321fb97
detector_checkpoint,yolo/VHD.pt,VERIFIED,exact frozen runtime path,/ssd1/team_cam_ai/ttdat/outputs_sotad_phase12_old4c_motor_lowconf_t012/v12_57a_upstream_architecture_audit/frozen_lineage.json,3bcdbde6eae832ed77e32a63a7b2ccd9a9035846db01f62a42cb65ff245b5433
detector_checkpoint_sha256,06e07060b5391fe76c1a1c75a7d4e977418155d1dfd95a3d332a0e14c321fb97,VERIFIED,recomputed,/ssd1/team_cam_ai/ttdat/yolo/VHD.pt,06e07060b5391fe76c1a1c75a7d4e977418155d1dfd95a3d332a0e14c321fb97
detector_training_dataset,"checkpoint records relative manifest my_dataset.yaml; matching local package indicates VHD_VLM_NIGHT_REPLAY_4C, but the original runtime-relative manifest is not uniquely recoverable",PARTIALLY_VERIFIED,dataset basename is checkpoint metadata; expanded dataset identity remains ambiguous,/ssd1/team_cam_ai/ttdat/yolo/VHD.pt,06e07060b5391fe76c1a1c75a7d4e977418155d1dfd95a3d332a0e14c321fb97
checkpoint_training_image_size,640 px,VERIFIED,checkpoint train_args.imgsz,/ssd1/team_cam_ai/ttdat/yolo/VHD.pt,06e07060b5391fe76c1a1c75a7d4e977418155d1dfd95a3d332a0e14c321fb97
inference_image_size,960 px,VERIFIED,frozen runtime,/ssd1/team_cam_ai/ttdat/outputs_sotad_phase12_old4c_motor_lowconf_t012/v12_57a_upstream_architecture_audit/frozen_lineage.json,3bcdbde6eae832ed77e32a63a7b2ccd9a9035846db01f62a42cb65ff245b5433
detector_classes,"motorbike, car, bus, truck, bicycle",VERIFIED,checkpoint class mapping,/ssd1/team_cam_ai/ttdat/yolo/VHD.pt,06e07060b5391fe76c1a1c75a7d4e977418155d1dfd95a3d332a0e14c321fb97
deployable_classes,"motorbike, car, bus, truck (class IDs 0--3); bicycle excluded from downstream admission",VERIFIED,frozen vehicle_classes,/ssd1/team_cam_ai/ttdat/outputs_sotad_phase12_old4c_motor_lowconf_t012/v12_57a_upstream_architecture_audit/frozen_lineage.json,3bcdbde6eae832ed77e32a63a7b2ccd9a9035846db01f62a42cb65ff245b5433
detector_thresholds,raw diagnostic confidence 0.001; admitted low stage 0.05; operational confidence 0.15; tracker high 0.18; new-track 0.22,VERIFIED,frozen detector/tracker lineage,/ssd1/team_cam_ai/ttdat/outputs_sotad_phase12_old4c_motor_lowconf_t012/v12_57a_upstream_architecture_audit/frozen_lineage.json,3bcdbde6eae832ed77e32a63a7b2ccd9a9035846db01f62a42cb65ff245b5433
nms,Ultralytics NMS active; class-agnostic; IoU 0.55,VERIFIED,agnostic_nms=true and iou=0.55,/ssd1/team_cam_ai/ttdat/outputs_sotad_phase12_old4c_motor_lowconf_t012/v12_57a_upstream_architecture_audit/frozen_lineage.json,3bcdbde6eae832ed77e32a63a7b2ccd9a9035846db01f62a42cb65ff245b5433
