position,feature,paper_feature_family,unary_or_pairwise,raw_or_temporal_summary,causal_status,required_track_history,validity_or_missingness_field,included_full_132,included_reduced_52,selection_rationale,meaning,normalization,expected_range,status,implementation_source,implementation_source_sha256
0,F0,pair interaction,pair-context,raw/current,causal/trailing-only,current sample,none,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",relative closing velocity and normalized distance to the three nearest current tracks,log1p then quality mask,"[0,inf)",active,pipeline_accident_detector_v11_phase1.py:_v10_compute_collision_energy_proxy:4839,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
1,F1,motion,unary,raw/current,causal/trailing-only,current sample,none,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,maximum short-history acceleration above adaptive noise ceiling,log1p then soft quality mask,"[0,inf)",active,pipeline_accident_detector_v11_phase1.py:_v10_compute_accel_max_short:5051,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
2,F2,motion,unary,raw/current,causal/trailing-only,current sample,none,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,relative speed loss from five causal observations earlier,signed clip then soft quality mask,"[0,1]",active,pipeline_accident_detector_v11_phase1.py:V10FeatureExtractor.extract:5104,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
3,F5,pair interaction,pair-context,raw/current,causal/trailing-only,current sample,none,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",maximum current IoU to the three nearest tracks,clip then soft quality mask,"[0,1]",active,pipeline_accident_detector_v11_phase1.py:V10FeatureExtractor.extract:5104,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
4,F6,motion,pair-context,raw/current,causal/trailing-only,current sample,none,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",maximum current context-track speed,log1p then quality mask,"[0,inf)",active,pipeline_accident_detector_v11_phase1.py:V10FeatureExtractor.extract:5104,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
5,F7,direction,pair-context,raw/current,causal/trailing-only,current sample,none,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",cosine similarity to fastest current context track,signed clip then quality mask,"[-1,1]",active,pipeline_accident_detector_v11_phase1.py:V10FeatureExtractor.extract:5104,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
6,F10,direction,unary,raw/current,causal/trailing-only,current sample,none,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",one minus cosine similarity between current and fifth-most-recent causal velocities,"clip to [0,2]; soft quality mask","[0,2]",active,pipeline_accident_detector_v11_phase1.py:V10FeatureExtractor.extract:5104,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
7,F11,shape variation,unary,raw/current,causal/trailing-only,current sample,none,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule","absolute aspect-ratio difference between the current and fifth-most-recent causal track observations, followed by log1p and soft quality masking",absolute aspect-ratio difference; log1p; soft quality mask,"[0,inf)",active,pipeline_accident_detector_v11_phase1.py:V10FeatureExtractor.extract:5104,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
8,F13,reliability and missingness,unary,raw/current,causal/trailing-only,current sample,none,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",track confidence multiplied by causal age saturation,clip,"[0,1]",active,pipeline_accident_detector_v11_phase1.py:_v10_enrich_track:4900,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
9,F14,reliability and missingness,unary,raw/current,causal/trailing-only,current sample,none_constant,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,constant zero placeholder retained by the frozen contract,none,{0},reserved_constant,pipeline_accident_detector_v11_phase1.py:V10FeatureExtractor.extract:5104,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
10,F15,geometry,unary,raw/current,causal/trailing-only,current sample,none,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",minimum normalized distance to a five-percent image edge margin,clip; quality-immune,"[0,1]",active,pipeline_accident_detector_v11_phase1.py:V10FeatureExtractor.extract:5104,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
11,F16,motion,unary,raw/current,causal/trailing-only,current sample,none,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",target image-plane speed normalized by box diagonal,log1p then quality mask,"[0,log1p(10)]",active,pipeline_accident_detector_v11_phase1.py:V10FeatureExtractor.extract:5104,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
12,F17,geometry,unary,raw/current,causal/trailing-only,current sample,none,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",square of one minus normalized box-center y,clip; quality-immune,"[0,1]",active,pipeline_accident_detector_v11_phase1.py:V10FeatureExtractor.extract:5104,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
13,F18,pair interaction,pair-context,raw/current,causal/trailing-only,current sample,context_absent,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",distance to context actor selected by current IoU then relative speed,log1p normalized by target diagonal and quality mask,"[0,inf)",active,pipeline_accident_detector_v11_phase1.py:V10TelemetryCurator.update:5247,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
14,F19,pair interaction,pair-context,raw/current,causal/trailing-only,current sample,none,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,max of current F5 and 0.72 previous state with conditional 0.5 decay,causal recursive state,"[0,1]",active,pipeline_accident_detector_v11_phase1.py:V10TelemetryCurator.update:5247,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
15,track_age,reliability and missingness,unary,raw/current,causal/trailing-only,current sample,none,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",causal count of observations for the current track,count,documented_current_range,active,pipeline_accident_detector_v11_phase1.py:V10TelemetryCurator.update:5247,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
16,spawn_burst,reliability and missingness,unary,raw/current,causal/trailing-only,current sample,none,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",count of nearby tracks of age at most two passing causal motion criteria,clip count at 15,documented_current_range,active,pipeline_accident_detector_v11_phase1.py:V10TelemetryCurator.update:5247,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
17,bbox_w_norm,geometry,unary,raw/current,causal/trailing-only,current sample,none,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",current box width divided by image width,clip,documented_current_range,active,pipeline_accident_detector_v11_phase1.py:V10TelemetryCurator.update:5247,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
18,bbox_h_norm,geometry,unary,raw/current,causal/trailing-only,current sample,none,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",current box height divided by image height,clip,documented_current_range,active,pipeline_accident_detector_v11_phase1.py:V10TelemetryCurator.update:5247,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
19,bbox_area_norm,geometry,unary,raw/current,causal/trailing-only,current sample,none,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,normalized width times normalized height,product,documented_current_range,active,pipeline_accident_detector_v11_phase1.py:V10TelemetryCurator.update:5247,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
20,is_small_box,reliability and missingness,unary,raw/current,causal/trailing-only,current sample,none,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,area below 0.0008 or minimum side below 12 pixels,binary,documented_current_range,active,pipeline_accident_detector_v11_phase1.py:V10TelemetryCurator.update:5247,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
21,is_edge_box,reliability and missingness,unary,raw/current,causal/trailing-only,current sample,none,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,"box touches max(5 percent,20px) edge margin",binary,documented_current_range,active,pipeline_accident_detector_v11_phase1.py:V10TelemetryCurator.update:5247,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
22,far_edge_unreliable,reliability and missingness,unary,raw/current,causal/trailing-only,current sample,none,True,False,excluded by frozen train-OOF reduction rule; remains in full contract,small-box and edge-box conjunction,binary,documented_current_range,active,pipeline_accident_detector_v11_phase1.py:V10TelemetryCurator.update:5247,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
23,horizon_small_unreliable,reliability and missingness,unary,raw/current,causal/trailing-only,current sample,none,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",small box with F17 at least 0.50,binary,documented_current_range,active,pipeline_accident_detector_v11_phase1.py:V10TelemetryCurator.update:5247,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
24,bbox_center_jitter,motion,unary,raw/current,causal/trailing-only,current sample,none,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",current-to-previous center displacement divided by current diagonal,nonnegative ratio,documented_current_range,active,pipeline_accident_detector_v11_phase1.py:V10TelemetryCurator.update:5247,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
25,bbox_scale_jitter,shape variation,unary,raw/current,causal/trailing-only,current sample,none,True,True,"retained by frozen train-OOF utility, stability, redundancy, and family-coverage rule",absolute log current-to-previous diagonal ratio,absolute log ratio,documented_current_range,active,pipeline_accident_detector_v11_phase1.py:V10TelemetryCurator.update:5247,0008034c98fabf5ba58987ac4d664c4dda8c9db3662543f144fd315a6d77c5bd
